"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"319","Erling Bonnesen",9034,"Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","venstre","Fyns "," Svendborg"," 60"," Revisor "," 5672 Broby"," Mand "," Ja ","Alle","7",15857,"1K",""
"320","Jane Heitmann",4677,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Fyns "," Assens"," 47"," MF "," 5600 Faaborg"," Kvinde "," Ja ","Alle","4",8307,"3K",""
"321","Claus Houden",1052,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","venstre","Fyns "," Odense Syd"," 55"," Civiløkonom "," 5230 Odense M"," Mand "," Ja ","Alle","3",2107,"","5"
"322","Anne Katrine Melvig",1820,"Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","venstre","Fyns "," Nyborg"," Ukendt"," Konsulent "," 2820 Gentofte"," Kvinde "," Nej ","Alle","6",3375,"","3"
"323","Pernille Skipper",11120,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Odense Øst"," 31"," Cand.jur. "," Ukendt"," Kvinde "," Ja ","1.","1 ",13895,"1K",""
"324","Rune Lund",530,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Middelfart"," 39"," Konsulent "," 2200 København N"," Mand "," Nej ","5.","2 ",1758,"1T",""
"325","Jesper Kiel",604,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Svendborg"," 49"," Organisationssek. "," 5700 Svendborg"," Mand "," Ja ","7.","3 ",2871,"","1"
"326","Vibeke Syppli Enrum",261,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Faaborg"," 67"," Lektor "," 5892 Gudbjerg Sydfyn"," Kvinde "," Ja ","8.","4 ",1622,"","2"
"327","Reza Javid",245,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Fyns "," Odense Vest"," 52"," Lektor i Psykologi "," 5240 Odense NØ"," Mand "," Nej ","2.","6 ",1905,"","4"
"328","Malene Rye Andersen",225,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Fyns "," Assens"," Ukendt"," Folkeskolelærer "," 5631 Ebberup"," Kvinde "," Nej ","4.","7 ",1134,"","5"
"329","Per Jensen",191,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","enhedslisten","Fyns "," Nyborg"," Ukendt"," Pedel "," 5800 Nyborg"," Mand "," Nej ","6.","8 ",1438,"","6"
"330","Roger Matthisen",1081,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","alternativet","Fyns "," Ukendt"," 39"," cand.ling.merc. "," 2100 København Ø"," Mand "," Nej ","Alle","Alle",5109,"1T",""
"331","Nikolaj Amstrup",1035,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","alternativet","Fyns "," Svendborg"," 42"," boghandler "," 5700 Svendborg"," Mand "," Nej ","Alle","",3938,"","1"
"332","Karl Magnus Bidstrup",429,"Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","alternativet","Fyns "," Svendborg"," Ukendt"," Adjunkt "," 5881 Skårup Fyn"," Mand "," Nej ","Alle","",1821,"","3"
"333","Henrik Halle",532,"Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","alternativet","Fyns "," Ukendt"," Ukendt"," Folkeskolelærer "," 5683 Haarby"," Mand "," Nej ","Alle","",2506,"","2"
"334","Dan Westerholt",169,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Fyns "," Ukendt"," 21"," Studerende ","  Odense C"," Mand "," Nej ","Alle","",791,"","4"
"335","Benny Engelbrecht",8516,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sydjyllands "," Sønderborg"," 45"," Skatteminister "," 6300 Gråsten"," Mand "," Ja ","Alle","1",14374,"2K",""
"336","Niels Ole Beck",1130,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig","socialdemokraterne","Sydjyllands "," Varde"," 58"," Socialpædagog "," 6800 Varde"," Mand "," Ja ","Alle","6",2438,"","5"
"337","Helle Due Buchvaldt",2739,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","socialdemokraterne","Sydjyllands "," Esbjerg omegn"," 50"," Socialrådgiver "," 6000 Kolding"," Kvinde "," Nej ","Alle","5",5340,"","4"
"338","Ove Jensen",138,"Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Sydjyllands "," Kolding nord"," 73"," Pensionist "," 7000 Fredericia"," Mand "," Ja ","Alle","11",267,"","8"
"339","Christian Rabjerg Madsen",5201,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","socialdemokraterne","Sydjyllands "," Kolding syd"," 29"," Udv.konsulent "," 6000 Kolding"," Mand "," Ja ","Alle","12",9955,"5K",""
"340","John Nyborg",2719,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","socialdemokraterne","Sydjyllands "," Fredericia"," 52"," Pædagog, Kontorchef i Børne- og ungeafdelingen Fredericia Kommune "," 7000 Fredericia"," Mand "," Nej ","Alle","10",5907,"","3"
"341","Jesper Petersen",6842,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sydjyllands "," Haderslev"," 34"," BA.scient.pol. ","  København V"," Mand "," Ja ","Alle","13",12042,"4K",""
"342","Troels Ravn",5891,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Sydjyllands "," Vejen"," 54"," Skoleleder "," 6600 Vejen"," Mand "," Ja ","Alle","7",9569,"","1"
"343","Anne Sina",4582,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sydjyllands "," Aabenraa"," 28"," Cand.scient.pol. "," 2300 København S"," Kvinde "," Ja ","Alle","2",8683,"","2"
"344","Stephan Kleinschmidt",2819,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sydjyllands "," Sønderborg, Tønder"," Ukendt"," Politisk rådgiver "," 6400 Sønderborg"," Mand "," Nej ","Alle","1 3",4504,"","1"
"345","Jonna Buch Andersen",326,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sydjyllands "," Varde"," Ukendt"," Socialrådgiver "," 6753 Agerbæk"," Kvinde "," Nej ","Alle","6",710,"","3"
"346","Rune Christiansen",180,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Sydjyllands "," Fredericia, Kolding nord"," 38"," Lektor i historiedidaktik "," 6000 Kolding"," Mand "," Nej ","Alle","10 11",417,"","6"
"347","Marlene Borst Hansen",927,"Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sydjyllands "," Kolding syd, Haderslev"," 41"," Lærer "," 2500 Valby"," Kvinde "," Ja ","Alle","12 13",1980,"","2"
"348","Lotte Rod",2316,"Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","radikale venstre","Sydjyllands "," Esbjerg by, Vejle syd"," 30"," cand.scient.pol. "," 2300 København S"," Kvinde "," Ja ","Alle","4 9",4871,"1T",""
"349","John Bach Thygesen",174,"Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","radikale venstre","Sydjyllands "," Esbjerg omegn"," Ukendt"," Maskintekniker "," 6870 Ølgod"," Mand "," Nej ","Alle","5",386,"","7"
"350","Mike Legarth",4031,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","det konservative folkeparti","Sydjyllands "," Sønderborg"," 55"," MF, direktør "," 6580 Vamdrup"," Mand "," Ja ","Alle","Alle",6994,"","1"
"351","Dan Arnløv",396,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","det konservative folkeparti","Sydjyllands "," Esbjerg omegn"," Ukendt"," Byrådsmedlem "," 7100 Vejle"," Mand "," Nej ","Alle","",724,"","3"
"352","Tina Franson Spile",307,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","det konservative folkeparti","Sydjyllands "," Tønder"," Ukendt"," Controller "," 6430 Nordborg"," Kvinde "," Nej ","Alle","",565,"","4"
"353","Peder Tørnqvist",298,"Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","det konservative folkeparti","Sydjyllands "," Esbjerg by"," 54"," Jobkonsulent "," 6760 Ribe"," Mand "," Nej ","Alle","",507,"","5"
"354","Dennis Ørsted Petersen",207,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","socialistisk folkeparti","Sydjyllands "," Sønderborg"," 27"," Faglig konsulent "," 6400 Sønderborg"," Mand "," Nej ","Alle","1",537,"","4"
"355","Brian Bruhn",187,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sydjyllands "," Vejle nord"," 41"," Tek. Serviceleder "," 7100 Vejle"," Mand "," Ja ","Alle","8",441,"","5"
"356","Ida Damborg",905,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","socialistisk folkeparti","Sydjyllands "," Esbjerg by"," 46"," Projektleder "," 6000 Kolding"," Kvinde "," Ja ","Alle","4",2259,"","2"
"357","Karina Lorentzen Dehnhardt",3169,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","socialistisk folkeparti","Sydjyllands "," Kolding syd"," 42"," Folkeskolelærer "," 6000 Kolding"," Kvinde "," Ja ","Alle","12",6908,"","1"
"358","Hans Holmer",165,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sydjyllands "," Kolding nord"," Ukendt"," Fuldmægtig "," 6000 Kolding"," Mand "," Nej ","Alle","11",322,"","9"
"359","Claus Larsen",109,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sydjyllands "," Varde"," 57"," Faglærer "," 6800 Varde"," Mand "," Nej ","Alle","6",281,"","11"
"360","Susanne Mathiesen",383,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","socialistisk folkeparti","Sydjyllands "," Vejen"," Ukendt"," Centerchef "," 7200 Grindsted"," Kvinde "," Nej ","Alle","7",844,"","3"
"361","Ronny Roy Nielsen",180,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","socialistisk folkeparti","Sydjyllands "," Vejle syd"," Ukendt"," Pædagog "," 7100 Vejle"," Mand "," Nej ","Alle","9",428,"","6"
"362","Rune Bai Nielsen",111,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","socialistisk folkeparti","Sydjyllands "," Esbjerg omegn"," Ukendt"," Ledig "," 6760 Ribe"," Mand "," Nej ","Alle","5",282,"","10"
"363","Lars Olesen",162,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","socialistisk folkeparti","Sydjyllands "," Fredericia"," Ukendt"," Folkeskolelærer "," 7000 Fredericia"," Mand "," Nej ","Alle","10",382,"","7"
"364","Einar Olsen",145,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Sydjyllands "," Haderslev"," 60"," Efterskolelærer "," 6500 Vojens"," Mand "," Ja ","Alle","13",349,"","8"
"365","Hans Winther",111,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sydjyllands "," Aabenraa"," 59"," Sioleinspektør "," 6000 Kolding"," Mand "," Ja ","Alle","2",255,"","12"
"366","Mette Bock",11588,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","liberal alliance","Sydjyllands "," Storkredskandidat"," 58"," MF "," 8700 Horsens"," Kvinde "," Ja ","Alle","1 2 3 4 6 7 8 10 12 13",23544,"1K",""
"367","Sarah Maria Grønbæk",353,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Sydjyllands "," Storkredskandidat"," Ukendt"," Bygningsingeniør "," 6440 Augustenborg"," Kvinde "," Nej ","Alle","",708,"","3"
"368","Henrik Dahl",2902,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","liberal alliance","Sydjyllands "," Storkredskandidat"," 55"," Forfatter "," 4660 Store Heddinge"," Mand "," Nej ","Alle","5 9 11",5991,"1T",""
