Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Morten Riis,570,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Bornholms ," Rønne, Aakirkeby", 39, Cand. mag. , 3760 Gudhjem, Mand , Ja 
Bo Haxthausen,143,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Bornholms ," Rønne, Aakirkeby", Ukendt, Chauffør , 3782 Klemensker, Mand , Nej 
Anne Thomas,591,Helt enig,Helt enig,Delvist uenig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Bornholms , Ukendt, Ukendt, Selvstændig , 3720 Aakirkeby, Kvinde , Nej 
Kasper Roug,4257,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Lolland, Ukendt, Lektor , 4930 Maribo, Mand , Nej 
Tom Block,2822,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Slagelse, 38, Overkonstabel , 4200 Slagelse, Mand , Nej 
Lennart Damsbo-Andersen,5902,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Sjællands , Guldborgsund, 59, Tømrer , 4892 Kettinge, Mand , Ja 
Kåre Dybvad,4121,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist uenig,socialdemokraterne,Sjællands , Holbæk, 31, Projektchef ,  København K, Mand , Ja 
Mette Gjerskov,3935,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Sjællands , Roskilde, 49, Fhv. minister , 4000 Roskilde, Kvinde , Ja 
Jeannie Thorving Hansen,825,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Faxe, 50, BA.polit. , 4690 Haslev, Kvinde , Ja 
Magnus Heunicke,17864,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Næstved, 40, Transportminister , 4700 Næstved, Mand , Ja 
Ole Hækkerup,3561,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,socialdemokraterne,Sjællands , Ringsted, 44, BA.scient.pol. , 2791 Dragør, Mand , Ja 
Astrid Krag,14898,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Greve, 33, Fhv. minister , 2300 København S, Kvinde , Ja 
Rasmus Horn Langhoff,5917,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Sjællands , Kalundborg, 35, Historiker , 2300 København S, Mand , Ja 
Henrik Sass Larsen,7201,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist uenig,socialdemokraterne,Sjællands , Køge, 49, Erhvervs- og vækstminister ,  København K, Mand , Ja 
Pernille Rosenkrantz-Theil,12071,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sjællands , Vordingborg, 38, Ledelseskonsulent ,  Frederiksberg, Kvinde , Ja 
Henriette Bødevadt,302,Delvist uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,radikale venstre,Sjællands ," Lolland, Guldborgsund", Ukendt, Nattevagt , 4895 Errindlev, Kvinde , Nej 
Troels Brandt,310,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Sjællands , Slagelse, Ukendt, Forstander , 4200 Slagelse, Mand , Nej 
Jan Heidebo,480,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sjællands ," Vordingborg, Ringsted", 55, Instruktør , 4174 Jystrup Midtsj, Mand , Ja 
Sean Littlewood,187,Delvist uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sjællands , Faxe, Ukendt, Lærer , 4640 Faxe, Mand , Nej 
Rasmus Helveg Petersen,2151,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt uenig,radikale venstre,Sjællands ," Køge, Holbæk", 47," Klima-, energi og bygningsminister ", 2450 København NV, Mand , Ja 
Zenia Stampe,4564,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,radikale venstre,Sjællands ," Næstved, Roskilde", 36, Cand.scient.pol. , Ukendt, Kvinde , Ja 
Jeppe Trolle,348,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,radikale venstre,Sjællands , Greve, 46, Underviser , 4000 Roskilde, Mand , Ja 
Emrah Tuncer,1095,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sjællands , Kalundborg, Ukendt, Forstander , 4300 Holbæk, Mand , Nej 
Marie Louise L. M. Friderichsen,1405,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,det konservative folkeparti,Sjællands ," Lolland, Næstved", Ukendt, Selvstændig , 4900 Nakskov, Kvinde , Nej 
Anette Brix Andreasen,586,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,det konservative folkeparti,Sjællands , Vordingborg, Ukendt, Politiassistent , 4684 Holmegaard, Kvinde , Nej 
Brigitte Klintskov Jerkel,1236,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt enig,Helt uenig,Delvist enig,det konservative folkeparti,Sjællands , Greve, 46, Socialrådgiver , 2670 Greve, Kvinde , Ja 
Rune Kristensen,567,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,det konservative folkeparti,Sjællands ," Guldborgsund, Slagelse", 33, cand.scient.pol. , 1151 København K, Mand , Ja 
Mikkel Lundemann,447,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,det konservative folkeparti,Sjællands , Faxe, 26, Studerende , 4660 Store Heddinge, Mand , Ja 
Brian Mikkelsen,4398,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,det konservative folkeparti,Sjællands ," Holbæk, Kalundborg", 49, Fhv. minister , 2900 Hellerup, Mand , Ja 
Christian Wedell-Neergård,934,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,det konservative folkeparti,Sjællands ," Køge, Roskilde", 59, Godsejer , 4140 Borup, Mand , Ja 
Flemming Stenild,607,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sjællands , Lolland, 69, Pensionist , 4880 Nysted, Mand , Ja 
Tina Boel,1293,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Sjællands , Roskilde, 55, Centerleder , 4000 Roskilde, Kvinde , Nej 
Meta Fuglsang,1079,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sjællands , Slagelse, 55, Konsulent , 4760 Vordingborg, Kvinde , Ja 
Michael Gråkjær,171,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialistisk folkeparti,Sjællands , Faxe, 55, Procesoperatør , 4600 Køge, Mand , Ja 
Ulla Birk Johansen,465,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Sjællands , Vordingborg, Ukendt, Kredsnæstformand , 4720 Præstø, Kvinde , Nej 
Annemette Schønberg Johnsen,304,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,socialistisk folkeparti,Sjællands , Guldborgsund, Ukendt, Bibliotekar , 4800 Nykøbing F, Kvinde , Nej 
Hans Kristiansen,131,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Sjællands , Greve, Ukendt, Pensionist , 2690 Karlslunde, Mand , Nej 
Trine Mach,942,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Sjællands , Næstved, 46, Programleder , 2200 København N, Kvinde , Ja 
Jacob Mark,2948,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,socialistisk folkeparti,Sjællands , Køge, 24, Studerende , 4600 Køge, Mand , Nej 
Ronja Rose Ravnskov,428,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,socialistisk folkeparti,Sjællands , Ringsted, 20, Tjener , 4180 Sorø, Kvinde , Nej 
Bente Juul Röttig,231,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sjællands , Holbæk, Ukendt, Socialrådgiver , 4340 Tølløse, Kvinde , Nej 
Dorte Skovgård,291,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Sjællands , Kalundborg, 56, Indvandrerlærer ,  København V, Kvinde , Ja 
Villum Christensen,2451,Helt enig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,liberal alliance,Sjællands ," Storkredskandidat, Slagelse", 61, Institutleder , 4200 Slagelse, Mand , Ja 
Knud Erik Damgård,293,Helt enig,Helt uenig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,liberal alliance,Sjællands , Storkredskandidat, 58, Salgskonsulent , 4000 Roskilde, Mand , Nej 
Andreas Hastrup,2144,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Delvist enig,liberal alliance,Sjællands , Storkredskandidat, 56, cand.merc. , 4180 Sorø, Mand , Ja 
Henrik Boye,825,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,liberal alliance,Sjællands , Storkredskandidat, 50, Selvstændig , 2680 Solrød Strand, Mand , Nej 
Frederik Damgård,326,Helt enig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Sjællands , Storkredskandidat, 52, Projektleder , 2690 Karlslunde, Mand , Nej 
Vibeke Hellmann,377,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,liberal alliance,Sjællands , Storkredskandidat, 70, Selvstændig , 4840 Nørre Alslev, Kvinde , Ja 
Rikke Jakobsen,463,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Sjællands , Storkredskandidat, 46, Købmand , 4220 Korsør, Kvinde , Ja 
Kisser Franciska Lehnert,659,Helt enig,Helt uenig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt uenig,Delvist enig,liberal alliance,Sjællands , Storkredskandidat, Ukendt, Mentor , 4100 Ringsted, Kvinde , Ja 
Thomas Lunden,146,Helt enig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt enig,liberal alliance,Sjællands , Storkredskandidat, Ukendt, Selvstændig , 4571 Grevinge, Mand , Nej 
Mette Guldager Andersen,125,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Helt enig,Helt uenig,kristendemokraterne,Sjællands , Slagelse, 72, Turistfører , 4200 Slagelse, Kvinde , Ja 
Jacob Hellwing,30,Helt enig,Helt enig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt uenig,kristendemokraterne,Sjællands , Vordingborg, Ukendt, Værnepligtig , 4760 Vordingborg, Mand , Nej 
Egon Jakobsen,141,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,kristendemokraterne,Sjællands , Næstved, 67," Socialpædagog, pensionist ", 4700 Næstved, Mand , Ja 
Per Kristensen,59,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Delvist enig,Hverken enig eller uenig,kristendemokraterne,Sjællands , Roskilde, 58, Civilingeniør , 4040 Jyllinge, Mand , Ja 
Martin Sørensen,57,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,kristendemokraterne,Sjællands , Ringsted, Ukendt, Efterskolelærer , 4291 Ruds Vedby, Mand , Nej 
Henning Østergård-Christensen,86,Helt enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist enig,kristendemokraterne,Sjællands , Guldborgsund, 66, Ingeniørassistent , 4800 Nykøbing F, Mand , Ja 
Eric Steffensen,1372,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,dansk folkeparti,Sjællands , Lolland, Ukendt, Udviklingskonsulent , 4952 Stokkemarke, Mand , Nej 
Liselott Blixt,5981,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Sjællands , Køge, 50, Social- og sundhedsassistent , 2670 Greve, Kvinde , Ja 
Henrik Brodersen,2450,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,dansk folkeparti,Sjællands , Faxe, 51, VVS-montør , 4243 Rude, Mand , Ja 
Gert Poul Christensen,786,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,dansk folkeparti,Sjællands , Greve, Ukendt, Konsulent , 2670 Greve, Mand , Nej 
René Christensen,8180,Helt uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,dansk folkeparti,Sjællands , Guldborgsund, 45, Automekaniker , 4800 Nykøbing F, Mand , Ja 
Søren Espersen,14482,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,dansk folkeparti,Sjællands , Kalundborg, 62, Journalist , 4750 Lundby, Mand , Ja 
Heino Hahn,1201,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,dansk folkeparti,Sjællands , Vordingborg, Ukendt, Viceborgmester , 4773 Stensved, Mand , Nej 
Jeppe Jakobsen,2255,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,dansk folkeparti,Sjællands , Holbæk, 27, Bestyrelsesformand ,  Kalundborg, Mand , Ja 
Merete Dea Larsen,3511,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,dansk folkeparti,Sjællands , Roskilde, 37, Farmakonom , 4000 Roskilde, Kvinde , Ja 
Karin Nødgård,4298,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,dansk folkeparti,Sjællands , Slagelse, 49, Lærer , 4174 Jystrup Midtsjælland, Kvinde , Ja 
