"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Michael Nedersøe",36,"o",1136,"Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Hans Henrik Sørensen",50,"o",694,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig"
"Jakob Ellemann-Jensen",42,"v",8678,"Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig"
"Kim Andersen",58,"v",4656,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig"
"Britt Bager",39,"v",7306,"Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Gert Bjerregaard",52,"v",2251,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig"
"Anders Buhl-Christensen",54,"v",2522,"Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Anne-Mette Winther Christiansen",49,"v",3796,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Michael Aastrup Jensen",39,"v",6849,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Troels Lund Poulsen",39,"v",5031,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Ejnar Schultz",51,"v",693,"Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Finn Thranum",59,"v",1868,"Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Fatma Øktem",41,"v",4379,"Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Else Kayser",62,"oe",663,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Nikolaj Villumsen",32,"oe",2338,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Søren Egge Rasmussen",54,"oe",1124,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Rasmus Vestergaard Madsen",24,"oe",536,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Maria Temponeras",44,"oe",890,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Maja Wolff Albrechtsen",30,"oe",825,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Anne Hegelund",26,"oe",809,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Ulf Harbo",38,"oe",899,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Bodil Kvistgaard Olsen",46,"oe",290,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Josephine Fock",50,"aa",3775,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Niko Grünfeld",40,"aa",2876,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Vibeke Genefke",47,"aa",398,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Julius Graakjær Grantzau",32,"aa",512,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jesper Nørgaard Kjær",27,"aa",211,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Tina Kjær",32,"aa",551,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Lynge Korsgaard",32,"aa",222,"Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Anders Stenumgaard Lind",48,"aa",392,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Lars Pallesen",48,"aa",239,"Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Thomas Risum Rasmussen",38,"aa",144,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig"
"Steen Rågård",61,"aa",222,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Alexander With",31,"aa",184,"Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig"
"Helle Dam",55,"a",2948,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig"
"Kasper Skov Andersen",23,"a",413,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig"
"Karin Gaardsted",60,"a",5931,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Mogens Jensen",51,"a",7921,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Thomas Jensen",45,"a",7590,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig"
"Annette Lind",46,"a",12703,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Anne Paulin",27,"a",6100,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Frank Heidemann Sørensen",60,"a",1697,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Johannes Lebech",67,"b",960,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Erika Asmuss",58,"b",176,"Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Sanne Bjørn",41,"b",801,"Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Jes Juul Lauesen",56,"b",248,"Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig"
"Andreas Raaby Steenberg",32,"b",1971,"Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig"
"Søren Pape",43,"c",11565,"Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Delvist uenig"
"Pernille Bloch",53,"c",327,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Jens-Henrik Kirk",38,"c",407,"Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Jette Philipsen",62,"c",469,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig"
"Tove Videbæk",69,"c",471,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Orla Østerby",63,"c",572,"Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Andreas Albertsen",30,"f",341,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig"
"Steen Gade",70,"f",2111,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Signe Munk",25,"f",1536,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Susanne Buch Nielsen",56,"f",888,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"August Vigen Smolarz",21,"f",175,"Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Michael Thomsen",47,"f",258,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Anders Udengaard",39,"f",89,"Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig"
"Johnny Heinmann",50,"i",525,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Lene Foged",1,"i",1121,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Emilia Djomina Hansen",19,"i",380,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jakob Hildebrandt Hansen",23,"i",310,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Keld Lorenzen",39,"i",343,"Delvist enig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Steffen Troldtoft",32,"i",188,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Leif Mikkelsen",70,"i",3591,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Troels Moesgaard",42,"k",78,"Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig"
"Kristian Andersen",47,"k",3860,"Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist enig"
"Karlo Brondbjerg",54,"k",148,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Brian Christensen",48,"k",163,"Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig"
"Knud Gaarn-Larsen",67,"k",112,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig"
"Jens Ove Kjeldsen",70,"k",522,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig"
"Rene Kjær",48,"k",91,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig"
"Jens Kristian Mølby Nielsen",46,"k",272,"Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig"
"Jacob Rabjerg",19,"k",118,"Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Jette Lund",44,"o",2231,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig"
"Martin Lange Andersen",39,"o",861,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Preben Andersen",56,"o",2735,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Dennis Flydtkjær",37,"o",9097,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Anders Ladegaard",24,"o",1096,"Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Christian Langballe",48,"o",3887,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Richardt Graakjær Bostrup Møller",40,"o",1124,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Peter Pedersen",57,"o",1250,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig"
"Jan Berg Rasmussen",53,"o",1455,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Alex Uhrskov Rosenbæk",44,"o",827,"Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Thomas Danielsen",32,"v",8922,"Helt uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig"
"Marianne Bredal",30,"v",2013,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Nicolaj Dupont-Mersing",42,"v",503,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Bent Jensen",59,"v",242,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig"
"Kristian Jensen",44,"v",14028,"Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt uenig"
"Carsten Kissmeyer",62,"v",4567,"Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Esben Lunde Larsen",36,"v",10834,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Kristian Pihl Lorentzen",54,"v",7768,"Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig"
"Mads Rørvig",30,"v",5905,"Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Inger Støjberg",42,"v",16356,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Frede Sørensen",59,"oe",116,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Jakob Sølvhøj",61,"oe",753,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Malte Bang",24,"oe",486,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
